index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
1,Kylian Mbappé,Centre-Forward,19,"120,00 Mill. €",France,Monaco,Ligue 1,Paris SG,Ligue 1,"135,00 Mill. €"
2,Cristiano Ronaldo,Centre-Forward,33,"100,00 Mill. €",Portugal,Real Madrid,LaLiga,Juventus,Serie A,"117,00 Mill. €"
3,Kepa,Goalkeeper,23,"20,00 Mill. €",Spain,Athletic,LaLiga,Chelsea,Premier League,"80,00 Mill. €"
4,Thomas Lemar,Left Winger,22,"65,00 Mill. €",France,Monaco,Ligue 1,Atlético Madrid,LaLiga,"70,00 Mill. €"
5,Riyad Mahrez,Right Winger,27,"50,00 Mill. €",Algeria,Leicester,Premier League,Man City,Premier League,"67,80 Mill. €"
6,Naby Keïta,Central Midfield,23,"65,00 Mill. €",Guinea,RB Leipzig,1.Bundesliga,Liverpool,Premier League,"60,00 Mill. €"
7,Thibaut Courtois,Goalkeeper,26,"65,00 Mill. €",Belgium,Chelsea,Premier League,Real Madrid,LaLiga,"35,00 Mill. €"
8,Alisson,Goalkeeper,25,"60,00 Mill. €",Brazil,AS Roma,Serie A,Liverpool,Premier League,"62,50 Mill. €"
9,Fred,Central Midfield,25,"32,00 Mill. €",Brazil,Shakhtar D.,Premier Liga,Man Utd,Premier League,"59,00 Mill. €"
10,Jorginho,Defensive Midfield,26,"50,00 Mill. €",Italy,SSC Napoli,Serie A,Chelsea,Premier League,"57,00 Mill. €"
11,Douglas Costa,Right Winger,27,"55,00 Mill. €",Brazil,Bayern Munich ,1.Bundesliga,Juventus,Serie A,"40,00 Mill. €"
12,Gonzalo Higuaín,Centre-Forward,30,"55,00 Mill. €",Argentina,Juventus,Serie A,AC Milan,Serie A,"Loan fee:18,00 Mill. €"
13,Fabinho,Defensive Midfield,24,"45,00 Mill. €",Brazil,Monaco,Ligue 1,Liverpool,Premier League,"45,00 Mill. €"
14,Radja Nainggolan,Central Midfield,30,"45,00 Mill. €",Belgium,AS Roma,Serie A,Inter,Serie A,"38,00 Mill. €"
15,Vinícius Júnior,Left Winger,18,"35,00 Mill. €",Brazil,Flamengo,Série A,Real Madrid,LaLiga,"45,00 Mill. €"
16,Malcom,Right Winger,21,"45,00 Mill. €",Brazil,G. Bordeaux,Ligue 1,FC Barcelona,LaLiga,"41,00 Mill. €"
17,João Cancelo,Right-Back,24,"35,00 Mill. €",Portugal,Valencia CF,LaLiga,Juventus,Serie A,"40,40 Mill. €"
18,Leon Goretzka,Central Midfield,23,"40,00 Mill. €",Germany,FC Schalke 04,1.Bundesliga,Bayern Munich ,1.Bundesliga,Free Transfer
19,Stefan de Vrij,Centre-Back,26,"40,00 Mill. €",Netherlands,Lazio,Serie A,Inter,Serie A,Free Transfer
20,Paulinho,Central Midfield,30,"40,00 Mill. €",Brazil,FC Barcelona,LaLiga,GZ Evergrande,Super League,Loan
21,Michy Batshuayi,Centre-Forward,24,"40,00 Mill. €",Belgium,Chelsea,Premier League,Valencia CF,LaLiga,"Loan fee:3,00 Mill. €"
22,Tiemoué Bakayoko,Defensive Midfield,24,"40,00 Mill. €",France,Chelsea,Premier League,AC Milan,Serie A,"Loan fee:5,00 Mill. €"
23,Gonçalo Guedes,Left Winger,21,"40,00 Mill. €",Portugal,Paris SG,Ligue 1,Valencia CF,LaLiga,"40,00 Mill. €"
24,Richarlison,Left Winger,21,"25,00 Mill. €",Brazil,Watford,Premier League,Everton,Premier League,"39,20 Mill. €"
25,Felipe Anderson,Right Winger,25,"30,00 Mill. €",Brazil,Lazio,Serie A,West Ham,Premier League,"38,00 Mill. €"
26,Thilo Kehrer,Centre-Back,21,"18,00 Mill. €",Germany,FC Schalke 04,1.Bundesliga,Paris SG,Ligue 1,"37,00 Mill. €"
27,Clément Lenglet,Centre-Back,23,"25,00 Mill. €",France,Sevilla FC,LaLiga,FC Barcelona,LaLiga,"35,90 Mill. €"
28,Gelson Martins,Right Winger,23,"35,00 Mill. €",Portugal,Sporting CP,Liga NOS,Atlético Madrid,LaLiga,Free Transfer
29,Mattia Caldara,Centre-Back,24,"25,00 Mill. €",Italy,Juventus,Serie A,AC Milan,Serie A,"35,00 Mill. €"
30,Leonardo Bonucci,Centre-Back,31,"35,00 Mill. €",Italy,AC Milan,Serie A,Juventus,Serie A,"35,00 Mill. €"
31,Arturo Vidal,Central Midfield,31,"35,00 Mill. €",Chile,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,"18,00 Mill. €"
32,Arthur,Central Midfield,22,"30,00 Mill. €",Brazil,Grêmio,Série A,FC Barcelona,LaLiga,"31,00 Mill. €"
33,Yerry Mina,Centre-Back,23,"20,00 Mill. €",Colombia,FC Barcelona,LaLiga,Everton,Premier League,"30,25 Mill. €"
34,Geoffrey Kondogbia,Central Midfield,25,"30,00 Mill. €",France,Inter,Serie A,Valencia CF,LaLiga,"25,00 Mill. €"
35,Emre Can,Defensive Midfield,24,"30,00 Mill. €",Germany,Liverpool,Premier League,Juventus,Serie A,Free Transfer
36,Fabián Ruiz,Central Midfield,22,"20,00 Mill. €",Spain,Real Betis,LaLiga,SSC Napoli,Serie A,"30,00 Mill. €"
37,Álvaro Odriozola,Right-Back,22,"25,00 Mill. €",Spain,Real Sociedad,LaLiga,Real Madrid,LaLiga,"30,00 Mill. €"
38,Lucas Torreira,Defensive Midfield,22,"30,00 Mill. €",Uruguay,Sampdoria,Serie A,Arsenal,Premier League,"30,00 Mill. €"
39,Jean Michaël Seri,Central Midfield,27,"30,00 Mill. €",Cote d'Ivoire,OGC Nice,Ligue 1,Fulham,Premier League,"30,00 Mill. €"
40,Aleksandr Golovin,Central Midfield,22,"25,00 Mill. €",Russia,CSKA Moscow,Premier Liga,Monaco,Ligue 1,"30,00 Mill. €"
41,Mateo Kovacic,Central Midfield,24,"30,00 Mill. €",Croatia,Real Madrid,LaLiga,Chelsea,Premier League,Loan
42,Keita Baldé,Left Winger,23,"30,00 Mill. €",Senegal,Monaco,Ligue 1,Inter,Serie A,"Loan fee:5,00 Mill. €"
43,Steven Nzonzi,Defensive Midfield,29,"30,00 Mill. €",France,Sevilla FC,LaLiga,AS Roma,Serie A,"26,65 Mill. €"
44,Anthony Modeste,Centre-Forward,30,"16,00 Mill. €",France,1. FC Köln,2.Bundesliga,TJ Quanjian,Super League,"29,00 Mill. €"
45,Abdou Diallo,Centre-Back,22,"12,00 Mill. €",France,1.FSV Mainz 05,1.Bundesliga,Bor. Dortmund,1.Bundesliga,"28,00 Mill. €"
46,Jefferson Lerma,Defensive Midfield,23,"2,00 Mill. €",Colombia,Levante UD,LaLiga,Bournemouth,Premier League,"28,00 Mill. €"
47,Kevin Strootman,Central Midfield,28,"28,00 Mill. €",Netherlands,AS Roma,Serie A,Marseille,Ligue 1,"25,00 Mill. €"
48,Bryan Cristante,Central Midfield,23,"25,00 Mill. €",Italy,Benfica,Liga NOS,Atalanta,Serie A,"5,00 Mill. €"
49,Rodri,Defensive Midfield,22,"25,00 Mill. €",Spain,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,"20,00 Mill. €"
50,Simone Verdi,Right Winger,26,"25,00 Mill. €",Italy,Bologna,Serie A,SSC Napoli,Serie A,"25,00 Mill. €"
51,Issa Diop,Centre-Back,21,"22,00 Mill. €",France,Toulouse,Ligue 1,West Ham,Premier League,"25,00 Mill. €"
52,Bernd Leno,Goalkeeper,26,"20,00 Mill. €",Germany,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,"25,00 Mill. €"
53,James Maddison,Attacking Midfield,21,"10,00 Mill. €",England,Norwich,Championship,Leicester,Premier League,"25,00 Mill. €"
54,Tanguy Ndombélé,Central Midfield,21,"25,00 Mill. €",France,SC Amiens,Ligue 1,Olympique Lyon,Ligue 1,"8,00 Mill. €"
55,Bryan Cristante,Central Midfield,23,"25,00 Mill. €",Italy,Atalanta,Serie A,AS Roma,Serie A,"Loan fee:5,00 Mill. €"
56,Lautaro Martínez,Centre-Forward,21,"25,00 Mill. €",Argentina,Racing Club,Primera División,Inter,Serie A,"16,00 Mill. €"
57,Jannik Vestergaard,Centre-Back,26,"14,00 Mill. €",Denmark,Bor. M'gladbach,1.Bundesliga,Southampton,Premier League,"25,00 Mill. €"
58,William Carvalho,Defensive Midfield,26,"25,00 Mill. €",Portugal,Sporting CP,Liga NOS,Real Betis,LaLiga,"20,00 Mill. €"
59,Paulinho,Left Winger,18,"25,00 Mill. €",Brazil,Vasco da Gama,Série A,Bay. Leverkusen,1.Bundesliga,"18,50 Mill. €"
60,Sime Vrsaljko,Right-Back,26,"25,00 Mill. €",Croatia,Atlético Madrid,LaLiga,Inter,Serie A,"Loan fee:6,50 Mill. €"
61,Samu Castillejo,Right Winger,23,"15,00 Mill. €",Spain,Villarreal CF,LaLiga,AC Milan,Serie A,"25,00 Mill. €"
62,André Zambo Anguissa,Defensive Midfield,22,"18,00 Mill. €",Cameroon,Marseille,Ligue 1,Fulham,Premier League,"24,85 Mill. €"
63,Javier Pastore,Attacking Midfield,29,"15,00 Mill. €",Argentina,Paris SG,Ligue 1,AS Roma,Serie A,"24,70 Mill. €"
64,Yuri Berchiche,Left-Back,28,"17,00 Mill. €",Spain,Paris SG,Ligue 1,Athletic,LaLiga,"24,00 Mill. €"
65,Andriy Yarmolenko,Right Winger,28,"23,00 Mill. €",Ukraine,Bor. Dortmund,1.Bundesliga,West Ham,Premier League,"20,00 Mill. €"
